violet,blue,green,yellow,orange,red,label
3500.95,4965.83,15365.4,13510.15,5603.7,2881.8,atelier
2905.48,5210.35,15809.16,13922.04,5671.93,2947.02,atelier
3273.83,5408.81,16020.15,14125.53,6829.64,3279.22,atelier
3821.05,4725.41,11517.57,10163.27,7917.67,3616,atelier
4050.54,3165.2,6197.79,5659.63,6833.84,3759.3,atelier
3698.27,2240.1,3593.39,3395.82,4067.42,3898.37,atelier
3109.64,2252.39,2354.7,2490.91,2570.71,4109.23,atelier
2917.82,2422.25,1784.35,2598.12,1909.85,4403.31,atelier
3038.54,2795.63,1617.17,3043.61,1858.93,4715.18,atelier
3289.68,3239.86,1777.86,3825.85,2011.23,4993.46,atelier
3579.31,3670.88,2170.27,4805.56,2200.11,5262.21,atelier
3833.08,4098.09,2679.74,5830.8,2325.7,5528.79,atelier
3963.67,4498.58,3082.57,6656.42,2248.85,5744.11,atelier
4157.41,4806.82,4080.71,7592.48,2892.06,5925.1,atelier
4567.07,4876.74,5093.14,8259.13,3940.46,6047.19,atelier
4979.66,4238.87,6087.63,8509.32,5580.61,6075.77,atelier
5312.99,2990.93,6691.36,7572.66,7347.55,5968.89,atelier
5595.29,2518.97,6866.53,6723.33,8745.3,5998.4,atelier
5892.66,2590.57,7173.07,6870.9,10111.67,6082.96,atelier
6198.5,2755.51,7352.87,7033.21,11251.5,6174.66,atelier
6448.95,2906.36,7055.43,7114.89,12023.05,6262.79,atelier
6702.05,3132.63,7087.99,7320.9,12748.54,6335.12,atelier
6923.95,3384.66,6857,7548.11,13222.89,6388.9,atelier
7113.95,3679.4,6863.9,7914.5,13502.4,6424.11,atelier
7333.66,4018.36,7232.41,8618.65,13993.56,6281.56,atelier
7568.19,4264.42,7753.56,9329.58,14571.6,5947.28,atelier
7784.07,4445.78,8344.51,10056.62,15334.04,5727.14,atelier
7974.86,4704.4,9006.96,10730.66,16237.34,5562.07,atelier
8124.58,4969.46,9509.96,11154.39,17056,5616.86,atelier
8255.22,5116.11,9594.97,11111.7,17580.4,5756.88,atelier
8340,5041.06,8101.98,9243.35,17716.06,5910.99,atelier
8262,4160.53,6768.49,7297.17,17720.75,6004.49,atelier
8064.5,3309.76,6813.44,6441.59,17943.58,6061.44,atelier
8083.15,2869.88,7052.1,6257.79,18309.02,6094.3,atelier
8111.53,2563.44,7725.39,6447.61,18847.72,6140.67,atelier
8184.18,2585.4,8664.75,6755.75,19353.45,6178,atelier
